"upper_cloud" "lower_cloud" "lowland" "monsoon"
"Tricalysia dubia (Lindl.) Ohwi" 0 36 17 345
"Trochodendron aralioides Sieb. & Zucc." 858 204 2 143
"Tsuga chinensis (Franchet) Pritz. ex Diels var. formosana (Hayata) Li & Keng" 565 38 0 0
"Turpinia formosana Nakai" 0 163 1242 621
"Turpinia ternata Nakai" 0 353 899 134
"Ulmus uyematsui Hayata" 3 6 0 0
"Vaccinium bracteatum Thunb." 94 111 0 12
"Vaccinium dunalianum Wight var. caudatifolium (Hayata) H. L. Li" 18 0 0 5
"Vaccinium japonicum Miq. var. lasiostemon Hayata" 7 0 0 0
"Vaccinium kengii C. E. Chang" 107 38 0 0
"Vaccinium randaiense Hayata" 11 7 0 2
"Vaccinium wrightii Gray" 106 52 0 16
"Vaccinium wrightii Gray var. formosanum (Hayata) H. L. Li" 0 1 0 0
"Ventilago leiocarpa Benth." 0 0 0 1
"Viburnum aboricolum Hayata" 0 19 0 0
"Viburnum arboricolum Hayata" 41 229 2 0
"Viburnum betulifolium Batal." 11 11 0 0
"Viburnum erosum Batal." 10 3 0 0
"Viburnum foetidum Wall. var. rectangulatum (Graebn.) Rehder" 82 316 1 48
"Viburnum formosanum Hayata" 2 80 18 331
"Viburnum integrifolium Hayata" 74 94 0 17
"Viburnum luzonicum Rolfe" 27 28 18 107
"Viburnum odoratissimum Ker" 9 0 3 0
"Viburnum parvifolium Hayata" 1 3 0 0
"Viburnum plicatum Thunb. var. formosanum Y. C. Liu & C. H. Ou" 1 0 0 0
"Viburnum propinquum Hemsl." 2 12 0 0
"Viburnum sympodiale Graebner" 162 3 0 0
"Viburnum taitoense Hayata" 25 183 0 0
"Viburnum urceolatum Sieb. et Zucc." 90 19 0 0
"Vitex negundo L." 0 0 7 0
"Vitex quinata (Lour.) F. N. Williams" 0 0 3 3
"Wendlandia formosana Cowan" 0 1 215 931
"Xylosma congesta (Lour.) Merr." 0 1 1 0
"Zanthoxylum ailanthoides Sieb. & Zucc." 0 5 0 0
"Zanthoxylum armatum DC." 0 0 0 5
"Zanthoxylum scandens Bl." 1 5 3 0
"Zelkova serrata (Thunb.) Makino" 0 0 11 0
